,Source,Target,Link
1711,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1712,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=5_Y5VPicAtk,1
1713,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0ZcyLet8h_4,1
1714,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=EdpFAV8dC9Y,1
1715,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=owZID-AdWeY,1
1716,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=4AtOU0dDXv8,1
1717,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=-dB_W38mCRM,1
1718,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=D3ZJqtFrYxQ,1
1719,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=acelz-5_KJ0,1
1720,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=umDYDdC3CHA,1
1721,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=iaoD6pfFuTo,1
1722,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=nRkwuTOESCc,1
1723,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0i1T72jfoWA,1
1724,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=wZgbXLw1v_8,1
1725,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=74t7bGbSaeA,1
1726,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ebByb9JJgJg,1
1727,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=6kaoC2eP6Vc,1
1728,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=dZDrOycStWo,1
1729,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0ZcyLet8h_4,1
1730,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=5Gg6F7V0HDA,1
1731,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=SkQKVMYyPoM,1
1732,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OA1CIrWcGHg,1
1733,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Qt9qtpawDkc,1
1734,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=kbF93Ngge6A,1
1735,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cX7ubSkvGi4,1
1736,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=7y1xJAVZxXg,1
1737,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=6kaoC2eP6Vc,1
1738,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=f8enlSLorhM,1
1739,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=PC8GZLi7d7o,1
1740,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=xo2ISWrQAsU,1
